time_s,ecg_MLII,ecg_V5
0.0,-0.145,-0.065
0.002777777777777778,-0.145,-0.065
0.005555555555555556,-0.145,-0.065
0.008333333333333333,-0.145,-0.065
0.011111111111111112,-0.145,-0.065
0.013888888888888888,-0.145,-0.065
0.016666666666666666,-0.145,-0.065
0.019444444444444445,-0.145,-0.065
0.022222222222222223,-0.12,-0.08
0.025,-0.135,-0.08
0.027777777777777776,-0.145,-0.085
0.030555555555555555,-0.15,-0.085
0.03333333333333333,-0.16,-0.075
0.03611111111111111,-0.155,-0.07
0.03888888888888889,-0.16,-0.07
0.041666666666666664,-0.175,-0.065
0.044444444444444446,-0.18,-0.055
0.04722222222222222,-0.185,-0.05
0.05,-0.17,-0.05
0.05277777777777778,-0.155,-0.04
0.05555555555555555,-0.175,-0.04
0.058333333333333334,-0.18,-0.055
0.06111111111111111,-0.19,-0.075
0.06388888888888888,-0.18,-0.08
0.06666666666666667,-0.155,-0.085
0.06944444444444445,-0.135,-0.07
0.07222222222222222,-0.155,-0.08
0.075,-0.19,-0.08
0.07777777777777778,-0.205,-0.09
0.08055555555555556,-0.235,-0.095
0.08333333333333333,-0.225,-0.09
0.08611111111111111,-0.245,-0.095
0.08888888888888889,-0.25,-0.11
0.09166666666666666,-0.26,-0.12
0.09444444444444444,-0.275,-0.145
0.09722222222222222,-0.275,-0.135
0.1,-0.275,-0.105
0.10277777777777777,-0.265,-0.095
0.10555555555555556,-0.255,-0.105
0.10833333333333334,-0.265,-0.12
0.1111111111111111,-0.275,-0.135
0.11388888888888889,-0.29,-0.125
0.11666666666666667,-0.29,-0.125
0.11944444444444445,-0.29,-0.115
0.12222222222222222,-0.29,-0.115
0.125,-0.285,-0.125
0.12777777777777777,-0.295,-0.14
0.13055555555555556,-0.305,-0.14
0.13333333333333333,-0.285,-0.13
0.1361111111111111,-0.275,-0.125
0.1388888888888889,-0.275,-0.14
0.14166666666666666,-0.28,-0.145
0.14444444444444443,-0.285,-0.15
0.14722222222222223,-0.305,-0.15
0.15,-0.29,-0.13
0.1527777777777778,-0.3,-0.115
0.15555555555555556,-0.28,-0.125
0.15833333333333333,-0.29,-0.135
0.16111111111111112,-0.3,-0.16
0.1638888888888889,-0.315,-0.195
0.16666666666666666,-0.32,-0.2
0.16944444444444445,-0.335,-0.205
0.17222222222222222,-0.36,-0.225
0.175,-0.385,-0.255
0.17777777777777778,-0.385,-0.3
